Output,Time,Input1,Input2
484.78,17780.04,6.4,930.515
484.92,17795.16,6.4,928.551
485.03,17810.28,6.4,932.637
485.13,17825.04,6.4,931.078
485.22,17840.16,6.4,937.634
485.30,17855.28,6.4,936.418
485.36,17870.04,6.4,933.047
485.42,17885.16,6.4,933.2
485.45,17900.28,6.4,932.952
485.51,17915.04,6.4,934.325
485.52,17930.16,6.4,933.543
485.54,17945.28,6.4,932.141
485.57,17960.04,6.4,930.734
485.58,17975.16,6.4,930.515
485.59,17990.28,6.4,931.078
485.58,18005.04,6.4,931.578
485.57,18020.16,6.4,932.98
485.58,18036.00,6.4,932.732
485.57,18051.12,6.4,931.922
485.56,18066.24,6.4,933.886
485.54,18081.00,6.4,931.64
485.52,18096.12,6.4,934.73
485.32,18111.24,6.4,935.136
484.96,18126.00,6.4,934.23
484.32,18141.12,6.4,934.387
483.40,18156.24,6.4,935.636
482.21,18171.00,6.4,933.481
480.75,18186.12,6.4,933.328
479.00,18201.24,6.4,936.604
477.03,18216.00,6.4,935.107
474.79,18231.12,6.4,936.166
